DateTime            	Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
2022-01-01 08:56:00	957	Student	3	1	10765	8	56	11	56	10765	3377	202	0	5	2	7	5	1	365	16	74	3	41	8	22	9	
2022-01-01 10:44:00	1037	Staff	5	1	3520	10	44	11	43	3520	9865	44	0	6	2	2	10	1	365	8	48	4	18	4	22	9	
2022-01-01 08:00:00	1060	Student	3	1	10545	8	0	8	0	0	0	0	0	0	0	0	0	2	672	4	0	0	0	0	0	9	
2022-01-01 08:60:00	962	Student	3	1	10692	8	60	11	58	10692	3572	200	0	9	1	1	4	1	384	15	72	2	40	8	22	9	
2022-01-01 08:57:00	961	Staff	5	1	11351	8	57	12	6	11351	3401	402	229	9	1	2	3	1	384	16	74	3	41	8	22	9	
2022-01-01 09:09:00	969	Student	3	1	11652	9	9	12	24	11652	4161	680	355	9	1	0	5	1	384	15	67	2	35	8	22	9	
2022-01-01 09:33:00	985	Visitor	1	1	10407	9	33	12	26	10407	5580	434	0	8	1	0	3	2	354	13	58	1	28	7	22	9	
2022-01-01 10:01:00	1001	Student	3	1	8819	10	1	12	28	8819	7247	165	0	12	3	2	2	1	654	15	50	2	20	6	22	9	
2022-01-01 09:28:00	990	Faculty	2	1	10767	9	28	12	27	10767	5269	314	0	3	2	9	4	1	386	12	59	2	28	7	22	9	
2022-01-01 09:02:00	955	Student	3	1	12792	9	2	12	35	12792	3690	240	0	6	2	5	7	1	365	16	71	1	40	8	22	9	
2022-01-01 09:51:00	1009	Faculty	2	1	10240	9	51	12	42	10240	6654	299	0	4	2	9	4	1	386	18	56	3	24	7	22	9	
2022-01-01 09:43:00	1002	Staff	5	1	10955	9	43	12	45	10955	6169	137	0	4	2	11	2	1	386	13	56	2	26	6	22	9	
2022-01-01 10:60:00	1043	Student	3	1	5874	10	60	12	38	5874	10791	110	0	7	1	0	3	2	354	10	51	4	21	5	21	9	
2022-01-01 11:18:00	1050	Faculty	2	1	4675	11	18	12	35	4675	11854	136	0	5	2	4	8	1	365	2	55	6	24	3	22	9	
2022-01-01 12:35:00	1089	Visitor	1	1	1224	12	35	12	56	1224	16521	51	0	4	2	5	8	1	386	9	48	3	21	5	19	9	
2022-01-01 11:59:00	1064	Visitor	1	1	3733	11	59	13	1	3733	14355	156	0	1	4	10	1	1	672	5	59	5	28	5	21	9	
2022-01-01 08:59:00	965	Student	3	1	13838	8	59	12	49	13838	3512	1556	1266	7	1	1	2	1	354	17	73	3	40	8	22	9	
2022-01-01 09:21:00	987	Student	3	1	12546	9	21	12	50	12546	4831	235	0	4	2	12	1	1	386	17	60	1	29	8	22	9	
2022-01-01 10:04:00	1014	Faculty	2	1	9273	10	4	12	38	9273	7416	270	0	4	2	7	6	1	386	13	50	3	19	6	22	9	
2022-01-01 11:00:00	1040	Staff	5	1	6744	11	0	12	53	6744	10809	84	0	6	2	3	9	1	365	9	52	4	22	5	21	9	
2022-01-01 12:38:00	1086	Faculty	2	1	1015	12	38	12	55	1015	16692	30	0	9	1	0	5	1	384	10	49	2	23	5	19	9	
2022-01-01 11:07:00	1048	Student	3	1	6667	11	7	12	58	6667	11240	125	0	9	1	1	4	1	384	6	49	2	21	5	21	9	
2022-01-01 08:00:00	1102	Staff	5	1	6836	8	0	8	0	0	0	0	0	0	0	0	0	2	672	10	0	0	0	0	0	9	
2022-01-01 12:14:00	1072	Faculty	2	1	3171	12	14	13	7	3171	15221	92	0	5	2	3	9	1	365	8	57	5	26	5	21	9	
2022-01-01 09:24:00	988	Student	3	1	13733	9	24	13	13	13733	5067	257	0	3	2	9	4	1	386	13	58	2	27	7	22	9	
2022-01-01 10:26:00	1011	Student	3	1	10537	10	26	13	22	10537	8765	198	0	5	2	4	8	2	365	8	47	3	18	4	22	9	
2022-01-01 10:19:00	1022	Visitor	1	1	10147	10	19	13	8	10147	8329	423	0	10	1	2	3	1	384	11	48	4	17	5	22	10	
2022-01-01 11:51:00	1061	Staff	5	1	4809	11	51	13	11	4809	13857	60	0	6	2	3	9	1	365	5	59	4	28	5	22	10	
2022-01-01 10:31:00	1034	Staff	5	1	8706	10	31	12	56	8706	9063	109	0	5	2	3	9	1	365	4	49	3	20	4	22	10	
2022-01-01 12:24:00	1074	Staff	5	1	2551	12	24	13	6	2551	15830	32	0	6	2	1	11	1	365	15	54	3	25	5	21	10	
2022-01-01 10:14:00	1017	Staff	5	1	10593	10	14	13	11	10593	8038	132	0	4	2	5	8	1	386	13	49	4	17	6	22	10	
2022-01-01 10:12:00	1008	Visitor	1	1	10735	10	12	13	11	10735	7933	447	0	3	2	4	9	1	386	12	49	4	17	6	22	10	
2022-01-01 09:37:00	989	Student	3	1	13341	9	37	13	20	13341	5834	250	0	12	3	3	1	2	654	14	58	2	28	6	22	10	
2022-01-01 10:00:00	997	Student	3	1	11906	10	0	13	18	11906	7201	223	0	6	2	1	11	2	365	16	50	2	20	6	22	10	
2022-01-01 10:31:00	1025	Faculty	2	1	10074	10	31	13	19	10074	9059	294	0	6	2	4	8	1	365	5	49	3	20	4	22	10	
2022-01-01 11:38:00	1055	Student	3	1	6409	11	38	13	25	6409	13061	120	0	10	1	2	3	1	384	4	57	4	26	5	22	10	
2022-01-01 08:00:00	1109	Staff	5	1	13016	8	0	8	0	0	0	0	0	0	0	0	0	2	672	14	0	0	0	0	0	10	
2022-01-01 12:39:00	1094	Faculty	2	1	2898	12	39	13	27	2898	16729	85	0	3	2	9	4	1	386	9	50	3	23	5	19	11	
2022-01-01 11:14:00	1045	Student	3	1	7620	11	14	13	21	7620	11623	143	0	5	2	4	8	1	365	2	51	4	22	3	22	11	
2022-01-01 11:09:00	1047	Staff	5	1	7954	11	9	13	22	7954	11349	99	0	6	2	2	10	1	365	5	52	4	23	4	21	11	
2022-01-01 11:05:00	1041	Visitor	1	1	9352	11	5	13	41	9352	11122	390	0	8	1	0	3	2	354	7	51	3	22	5	21	11	
2022-01-01 11:13:00	1042	Student	3	1	8929	11	13	13	42	8929	11572	167	0	12	3	1	3	1	654	3	52	4	22	4	22	11	
2022-01-01 08:00:00	1126	Visitor	1	1	718	8	0	8	0	0	0	0	0	0	0	0	0	2	672	19	0	0	0	0	0	11	
2022-01-01 13:12:00	1108	Visitor	1	1	2405	13	12	13	52	2405	18721	100	0	4	2	7	6	1	386	9	49	1	24	4	20	12	
2022-01-01 12:29:00	1075	Student	3	1	5317	12	29	13	58	5317	16135	100	0	0	4	10	1	1	672	13	54	4	24	6	20	13	
2022-01-01 11:04:00	1039	Visitor	1	1	9808	11	4	13	47	9808	11034	409	0	5	2	4	8	1	365	8	51	3	22	5	21	13	
2022-01-01 08:00:00	1132	Faculty	2	1	3037	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	14	
2022-01-01 08:00:00	1136	Student	3	1	10521	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	14	
2022-01-01 11:41:00	1057	Staff	5	1	8003	11	41	13	54	8003	13244	100	0	5	2	3	9	1	365	4	58	4	27	5	22	14	
2022-01-01 08:00:00	1137	Student	3	1	10582	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	14	
2022-01-01 12:46:00	1090	Staff	5	1	4138	12	46	13	55	4138	17187	52	0	10	1	0	5	1	384	8	51	3	24	5	19	14	
2022-01-01 12:08:00	1068	Visitor	1	1	6759	12	8	14	0	6759	14857	282	0	10	1	1	4	1	384	3	57	5	26	5	21	14	
2022-01-01 08:00:00	1140	Staff	5	1	574	8	0	8	0	0	0	0	0	0	0	0	0	2	672	14	0	0	0	0	0	14	
2022-01-01 08:00:00	1139	Visitor	1	1	8139	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	14	
2022-01-01 13:60:00	1124	Faculty	2	1	1013	13	60	14	17	1013	21590	30	0	6	2	0	12	1	365	23	47	2	22	4	19	15	
2022-01-01 13:15:00	1092	Staff	5	1	3727	13	15	14	17	3727	18896	47	0	6	2	3	9	2	365	10	52	1	27	4	20	15	
2022-01-01 13:34:00	1111	Visitor	1	1	578	13	34	13	43	578	20013	24	0	5	2	3	9	2	365	14	52	0	28	4	20	15	
2022-01-01 11:41:00	1058	Faculty	2	1	9310	11	41	14	16	9310	13246	272	0	10	1	2	3	1	384	3	58	4	27	5	22	16	
2022-01-01 08:00:00	1149	Staff	5	1	12396	8	0	8	0	0	0	0	0	0	0	0	0	2	672	15	0	0	0	0	0	16	
2022-01-01 12:28:00	1082	Faculty	2	1	6240	12	28	14	12	6240	16082	182	0	9	1	1	4	1	384	14	54	4	24	5	21	16	
2022-01-01 13:08:00	1104	Staff	5	1	4314	13	8	14	20	4314	18470	54	0	9	1	1	4	1	384	7	48	1	23	4	20	16	
2022-01-01 11:37:00	1059	Faculty	2	1	10098	11	37	14	25	10098	13018	295	0	6	2	3	9	1	365	5	57	4	26	5	22	16	
2022-01-01 13:39:00	1119	Visitor	1	1	2682	13	39	14	24	2682	20358	112	0	12	3	1	3	1	654	15	49	0	26	3	20	16	
2022-01-01 13:56:00	1118	Student	3	1	2137	13	56	14	32	2137	21378	40	0	6	2	0	12	2	365	20	46	1	23	4	18	16	
2022-01-01 12:35:00	1085	Student	3	1	6527	12	35	14	24	6527	16497	122	0	9	1	0	5	1	384	10	48	3	21	5	19	16	
2022-01-01 13:49:00	1125	Visitor	1	1	2583	13	49	14	32	2583	20937	108	0	5	2	2	10	1	365	20	47	1	22	4	20	16	
